"","trial","subject","task","pre_influence_norm","post_influence_norm","truth_norm","pre_influence","post_influence","truth"
"80",101,5,"6",-0.72463768115942,-0.72463768115942,0.214285714285714,50,50,180
"81",102,1,"1",1,2.08108108108108,1.64102564102564,120,160,145
"82",102,1,"3",-0.222222222222222,-0.777777777777778,0,19,14,21
"83",102,1,"5",1,1.064,1.064,650,666,666
"84",102,1,"6",-0.36231884057971,-0.927536231884058,0.214285714285714,100,22,180
"85",102,2,"1",-0.972972972972973,2.72972972972973,1.64102564102564,47,184,145
"86",102,2,"3",-0.666666666666667,-0.666666666666667,0,15,15,21
"87",102,2,"5",0.4,1.064,1.064,500,666,666
"88",102,2,"6",-0.72463768115942,-0.72463768115942,0.214285714285714,50,50,180
"89",102,3,"1",3.43243243243243,3.7027027027027,1.64102564102564,210,220,145
"90",102,3,"3",-1.44444444444444,-1.33333333333333,0,8,9,21
"91",102,3,"5",-1.34,1.064,1.064,65,666,666
"92",102,3,"6",-0.797101449275362,2.53623188405797,0.214285714285714,40,500,180
"93",102,4,"1",-1.02702702702703,0,1.64102564102564,45,83,145
"94",102,4,"3",4.33333333333333,3.22222222222222,0,60,50,21
"95",102,4,"5",1.064,1.064,1.064,666,666,666
"96",102,4,"6",-0.536231884057971,-0.543478260869565,0.214285714285714,76,75,180
"97",102,5,"1",0.567567567567568,0.567567567567568,1.64102564102564,104,104,145
"98",102,5,"3",-0.666666666666667,-0.666666666666667,0,15,15,21
"99",102,5,"5",-0.34,-0.34,1.064,315,315,666
"100",102,5,"6",-1.06521739130435,-1.06521739130435,0.214285714285714,3,3,180
"101",103,1,"1",1.08108108108108,1.13513513513514,1.64102564102564,123,125,145
"102",103,1,"3",0.888888888888889,-1,0,29,12,21
"103",103,1,"5",-0.4,0.8,1.064,300,600,666
"104",103,1,"6",1.08695652173913,NA,0.214285714285714,300,9000,180
"105",103,2,"1",-0.891891891891892,1.81081081081081,1.64102564102564,50,150,145
"106",103,2,"3",-1.44444444444444,-1.22222222222222,0,8,10,21
"107",103,2,"5",-1.12,-0.2,1.064,120,350,666
"108",103,2,"6",-0.869565217391304,-0.36231884057971,0.214285714285714,30,100,180
"109",103,3,"1",2.62162162162162,2.62162162162162,1.64102564102564,180,180,145
"110",103,3,"3",-0.666666666666667,1,0,15,30,21
"111",103,3,"5",-0.4,-0.4,1.064,300,300,666
"112",103,3,"6",6.15942028985507,NA,0.214285714285714,1000,1e+05,180
"113",103,4,"1",1.81081081081081,1.81081081081081,1.64102564102564,150,150,145
"114",103,4,"3",-1.22222222222222,-1.22222222222222,0,10,10,21
"115",103,4,"5",1.6,3.2,1.064,800,1200,666
"116",103,4,"6",-1.07971014492754,NA,0.214285714285714,1,5000,180
"117",103,5,"1",-0.891891891891892,1.27027027027027,1.64102564102564,50,130,145
"118",103,5,"3",2.11111111111111,-0.111111111111111,0,40,20,21
"119",103,5,"5",-1.2,-0.4,1.064,100,300,666
"120",103,5,"6",-1.05072463768116,-0.942028985507246,0.214285714285714,5,20,180
"121",104,1,"1",0.27027027027027,0.27027027027027,1.64102564102564,93,93,145
"122",104,1,"3",1.22222222222222,1.55555555555556,0,32,35,21
"123",104,1,"5",2.536,0.936,1.064,1034,634,666
"124",104,1,"6",-0.144927536231884,-0.144927536231884,0.214285714285714,130,130,180
"125",104,2,"1",1.32432432432432,0.675675675675676,1.64102564102564,132,108,145
"126",104,2,"3",2.11111111111111,1.66666666666667,0,40,36,21
"127",104,2,"5",-0.16,0.132,1.064,360,433,666
"128",104,2,"6",-0.326086956521739,1.08695652173913,0.214285714285714,105,300,180
"129",104,3,"1",1.81081081081081,1,1.64102564102564,150,120,145
"130",104,3,"3",1,1.55555555555556,0,30,35,21
"131",104,3,"5",-0.12,0.4,1.064,370,500,666
"132",104,3,"6",13.4057971014493,13.4057971014493,0.214285714285714,2000,2000,180
"133",104,4,"1",0.0810810810810811,0.27027027027027,1.64102564102564,86,93,145
"134",104,4,"3",0.444444444444444,4.33333333333333,0,25,60,21
"135",104,4,"5",2.4,1,1.064,1000,650,666
"136",104,4,"6",NA,NA,0.214285714285714,1e+05,25000,180
"137",104,5,"1",4.51351351351351,3.16216216216216,1.64102564102564,250,200,145
"138",104,5,"3",-0.111111111111111,1,0,20,30,21
"139",104,5,"5",4.4,2.4,1.064,1500,1000,666
"140",104,5,"6",-0.695652173913043,-0.702898550724638,0.214285714285714,54,53,180
"141",105,1,"1",0.459459459459459,1.81081081081081,1.64102564102564,100,150,145
"142",105,1,"3",1,2.11111111111111,0,30,40,21
"143",105,1,"5",0.4,1.064,1.064,500,666,666
"144",105,1,"6",-0.456521739130435,3.26086956521739,0.214285714285714,87,600,180
"145",105,2,"1",-0.243243243243243,1.08108108108108,1.64102564102564,74,123,145
"146",105,2,"3",0.222222222222222,2,0,23,39,21
"147",105,2,"5",-1.4,1.064,1.064,50,666,666
"148",105,2,"6",-0.652173913043478,4.21739130434783,0.214285714285714,60,732,180
"149",105,3,"1",1.13513513513514,1,1.64102564102564,125,120,145
"150",105,3,"3",NA,1.88888888888889,0,NA,38,21
"151",105,3,"5",1.4,1.12,1.064,750,680,666
"152",105,3,"6",1.59420289855072,4.71014492753623,0.214285714285714,370,800,180
"153",105,4,"1",0.459459459459459,1.27027027027027,1.64102564102564,100,130,145
"154",105,4,"3",-0.666666666666667,1.77777777777778,0,15,37,21
"155",105,4,"5",-0.192,0.8,1.064,352,600,666
"156",105,4,"6",NA,3.98550724637681,0.214285714285714,44500,700,180
"157",105,5,"1",1,1.27027027027027,1.64102564102564,120,130,145
"158",105,5,"3",-0.111111111111111,1,0,20,30,21
"159",105,5,"5",0,1.064,1.064,400,666,666
"160",105,5,"6",3.98550724637681,3.98550724637681,0.214285714285714,700,700,180
"161",106,1,"1",0.0540540540540541,1.13513513513514,1.64102564102564,85,125,145
"162",106,1,"3",-0.111111111111111,1,0,20,30,21
"163",106,1,"5",-0.2,1.32,1.064,350,730,666
"164",106,1,"6",-0.36231884057971,-1.07971014492754,0.214285714285714,100,1,180
"165",106,2,"1",-1.43243243243243,3.16216216216216,1.64102564102564,30,200,145
"166",106,2,"3",1.55555555555556,2.11111111111111,0,35,40,21
"167",106,2,"5",2.4,1.4,1.064,1000,750,666
"168",106,2,"6",-0.434782608695652,-0.434782608695652,0.214285714285714,90,90,180
"169",106,3,"1",-0.891891891891892,1,1.64102564102564,50,120,145
"170",106,3,"3",0.444444444444444,0.444444444444444,0,25,25,21
"171",106,3,"5",1.6,1.4,1.064,800,750,666
"172",106,3,"6",3.98550724637681,3.98550724637681,0.214285714285714,700,700,180
"173",106,4,"1",-1.37837837837838,1.08108108108108,1.64102564102564,32,123,145
